Ranking,Movie Title,Movie Link,Poster Img Link,Released_Year,Duration,Certificate,IMDB Rating
51, Once Upon a Time in the West,https://www.imdb.com/title/tt0064116/?ref_=chttp_t_51,"https://m.media-amazon.com/images/M/MV5BODQ3NDExOGYtMzI3Mi00NWRlLTkwNjAtNjc4MDgzZGJiZTA1XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_QL75_UX140_CR0,1,140,207_.jpg",1968,2h 45m,PG-13,8.5
52, Rear Window,https://www.imdb.com/title/tt0047396/?ref_=chttp_t_52,"https://m.media-amazon.com/images/M/MV5BNGUxYWM3M2MtMGM3Mi00ZmRiLWE0NGQtZjE5ODI2OTJhNTU0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UY207_CR1,0,140,207_.jpg",1954,1h 52m,PG,8.5
53, Alien,https://www.imdb.com/title/tt0078748/?ref_=chttp_t_53,"https://m.media-amazon.com/images/M/MV5BOGQzZTBjMjQtOTVmMS00NGE5LWEyYmMtOGQ1ZGZjNmRkYjFhXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_QL75_UX140_CR0,2,140,207_.jpg",1979,1h 57m,R,8.5
54, City Lights,https://www.imdb.com/title/tt0021749/?ref_=chttp_t_54,"https://m.media-amazon.com/images/M/MV5BY2I4MmM1N2EtM2YzOS00OWUzLTkzYzctNDc5NDg2N2IyODJmXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UX140_CR0,1,140,207_.jpg",1931,1h 27m,G,8.5
55, Apocalypse Now,https://www.imdb.com/title/tt0078788/?ref_=chttp_t_55,"https://m.media-amazon.com/images/M/MV5BYmQyNTA1ZGItNjZjMi00NzFlLWEzMWEtNWMwN2Q2MjJhYzEyXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_QL75_UX140_CR0,4,140,207_.jpg",1979,2h 27m,R,8.4
56, Memento,https://www.imdb.com/title/tt0209144/?ref_=chttp_t_56,"https://m.media-amazon.com/images/M/MV5BZTcyNjk1MjgtOWI3Mi00YzQwLWI5MTktMzY4ZmI2NDAyNzYzXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UY207_CR1,0,140,207_.jpg",2000,1h 53m,R,8.4
57, Django Unchained,https://www.imdb.com/title/tt1853728/?ref_=chttp_t_57,"https://m.media-amazon.com/images/M/MV5BMjIyNTQ5NjQ1OV5BMl5BanBnXkFtZTcwODg1MDU4OA@@._V1_QL75_UX140_CR0,0,140,207_.jpg",2012,2h 45m,R,8.5
58, Indiana Jones and the Raiders of the Lost Ark,https://www.imdb.com/title/tt0082971/?ref_=chttp_t_58,"https://m.media-amazon.com/images/M/MV5BNTU2ODkyY2MtMjU1NC00NjE1LWEzYjgtMWQ3MzRhMTE0NDc0XkEyXkFqcGdeQXVyMjM4MzQ4OTQ@._V1_QL75_UY207_CR1,0,140,207_.jpg",1981,1h 55m,PG,8.4
59, WALL·E,https://www.imdb.com/title/tt0910970/?ref_=chttp_t_59,"https://m.media-amazon.com/images/M/MV5BMjExMTg5OTU0NF5BMl5BanBnXkFtZTcwMjMxMzMzMw@@._V1_QL75_UX140_CR0,0,140,207_.jpg",2008,1h 38m,G,8.4
60, The Lives of Others,https://www.imdb.com/title/tt0405094/?ref_=chttp_t_60,"https://m.media-amazon.com/images/M/MV5BNmQyNmJjM2ItNTQzYi00ZjMxLWFjMDYtZjUyN2YwZDk5YWQ2XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_QL75_UX140_CR0,1,140,207_.jpg",2006,2h 17m,R,8.4
